"Year" "Vessel" "station" "lat" "long" "year" "month" "Chrysaora.melanaster..catch.number." "date"
"46" 2012 "OD" 68 57.5486 -166.9996 2012 9 910.1626016 "2012-9"
"47" 2012 "OD" 70 57.0072 -167.0051 2012 9 132.6180258 "2012-9"
"48" 2012 "OD" 71 56.504 -166.9728 2012 9 3.333333333 "2012-9"
"49" 2012 "OD" 72 56.026 -167.0033 2012 9 17.77777778 "2012-9"
"50" 2012 "OD" 74 55.0286 -167.0188 2012 9 2 "2012-9"
"51" 2012 "OD" 75 55.4944 -166.9468 2012 9 34.47272727 "2012-9"
"52" 2012 "OD" 76 55.5261 -168.0051 2012 9 13.03277545 "2012-9"
"53" 2012 "OD" 77 56.0297 -167.9964 2012 9 33.75212888 "2012-9"
"54" 2012 "OD" 79 56.5279 -167.9955 2012 9 80.75 "2012-9"
"55" 2012 "OD" 81 56.9626 -168.0002 2012 9 73.8372093 "2012-9"
"56" 2012 "OD" 83 57.488 -168.0057 2012 9 1168.764785 "2012-9"
"57" 2012 "OD" 84 57.9939 -167.9549 2012 9 103.3716475 "2012-9"
"58" 2012 "OD" 85 58.511 -168.0084 2012 9 34.05278246 "2012-9"
"59" 2012 "OD" 86 59.0088 -168.0589 2012 9 16.00800114 "2012-9"
"60" 2012 "OD" 88 59.501 -167.9921 2012 9 82.54619289 "2012-9"
"61" 2012 "OD" 90 60.0125 -168.9237 2012 9 82.3095329 "2012-9"
"62" 2012 "OD" 93 59.9927 -168.0368 2012 9 167.4884393 "2012-9"
"63" 2012 "OD" 94 59.4928 -168.987 2012 9 14.67765957 "2012-9"
"64" 2012 "OD" 96 58.9772 -168.9986 2012 9 10.99644128 "2012-9"
"65" 2012 "OD" 97 58.5262 -169.0069 2012 9 67.286373 "2012-9"
"66" 2012 "OD" 99 58.0061 -168.99 2012 9 102.2552946 "2012-9"
"67" 2012 "OD" 100 57.4893 -169.0122 2012 9 48.58078603 "2012-9"
"68" 2012 "OD" 102 56.9858 -169.0004 2012 9 19.97194951 "2012-9"
"69" 2012 "OD" 105 56.4867 -168.9852 2012 9 301.2816601 "2012-9"
"70" 2012 "OD" 106 55.9974 -168.9602 2012 9 37.59605911 "2012-9"
"71" 2012 "OD" 107 55.9802 -170.0246 2012 9 83.21293486 "2012-9"
"72" 2012 "OD" 110 56.5121 -170.0007 2012 9 74.01698484 "2012-9"
"73" 2012 "OD" 112 57.001 -169.9775 2012 9 232.2980333 "2012-9"
"74" 2012 "OD" 114 57.5261 -169.9836 2012 9 42.71653543 "2012-9"
"75" 2012 "OD" 115 57.9545 -170.0326 2012 9 337.9987233 "2012-9"
"76" 2012 "OD" 157 58.5152 -170.0103 2012 9 21.6400818 "2012-9"
"77" 2012 "OD" 158 59.0105 -170.0005 2012 9 6.497326203 "2012-9"
"78" 2012 "OD" 160 58.9755 -170.9988 2012 9 156.1574576 "2012-9"
"79" 2012 "OD" 194 56.5211 -171.0126 2012 10 0 "2012-10"
"80" 2012 "OD" 195 56.4991 -172.0161 2012 10 2 "2012-10"
"81" 2012 "OD" 197 57.0068 -172.0094 2012 10 18 "2012-10"
"82" 2012 "OD" 201 57.4998 -171.001 2012 10 0 "2012-10"
"83" 2012 "OD" 202 57.5024 -172.0089 2012 10 0 "2012-10"
"84" 2012 "OD" 205 58.0163 -170.9622 2012 10 101.4700855 "2012-10"
"85" 2012 "OD" 207 58.4973 -171.0124 2012 10 258.6840092 "2012-10"
"86" 2012 "OD" 208 58.5027 -172.0184 2012 10 14.51421076 "2012-10"
"87" 2012 "OD" 210 58.9683 -171.9674 2012 10 245.915161 "2012-10"
"88" 2012 "OD" 213 59.5052 -171.9981 2012 10 80.24024024 "2012-10"
"89" 2012 "OD" 214 59.5098 -170.989 2012 10 5.757225434 "2012-10"
"90" 2012 "OD" 215 59.4856 -170.004 2012 10 0 "2012-10"
"91" 2012 "OD" 216 60.0264 -171.9441 2012 10 0 "2012-10"
"92" 2012 "OD" 217 59.9715 -171.0207 2012 10 0 "2012-10"
"93" 2012 "BE" 134 64.0142 -169.9854 2012 9 3 "2012-9"
"94" 2012 "BE" 136 63.9823 -169.0007 2012 9 3 "2012-9"
"95" 2012 "BE" 137 63.9816 -168.0052 2012 9 0 "2012-9"
"96" 2012 "BE" 138 63.9727 -166.9765 2012 9 0 "2012-9"
"97" 2012 "BE" 139 64.0264 -165.9853 2012 9 18 "2012-9"
"98" 2012 "BE" 140 63.4811 -168.0028 2012 9 0 "2012-9"
"99" 2012 "BE" 142 63.4781 -167.0068 2012 9 194 "2012-9"
"100" 2012 "BE" 143 63.4844 -165.9984 2012 9 54 "2012-9"
"101" 2012 "BE" 148 62.9864 -166.0296 2012 9 34 "2012-9"
"102" 2012 "BE" 149 62.9812 -167.0175 2012 9 0 "2012-9"
"103" 2012 "BE" 150 63.063 -167.7149 2012 9 0 "2012-9"
"104" 2012 "BE" 151 62.489 -169.0283 2012 9 319 "2012-9"
"105" 2012 "BE" 152 62.4847 -167.9826 2012 9 674 "2012-9"
"106" 2012 "BE" 153 62.5035 -167.0265 2012 9 32 "2012-9"
"107" 2012 "BE" 155 61.9886 -167.0052 2012 9 0 "2012-9"
"108" 2012 "BE" 156 61.984 -167.9579 2012 9 7 "2012-9"
"109" 2012 "BE" 157 61.9827 -169.0127 2012 9 98 "2012-9"
"110" 2012 "BE" 158 61.4799 -169.0151 2012 9 24 "2012-9"
"111" 2012 "BE" 159 61.485 -167.9848 2012 9 4 "2012-9"
"112" 2012 "BE" 160 61.4829 -167.0028 2012 9 2 "2012-9"
"113" 2012 "BE" 161 61.0548 -167.0173 2012 9 0 "2012-9"
"114" 2012 "BE" 162 60.9879 -168.9737 2012 9 24 "2012-9"
"115" 2012 "BE" 163 60.9876 -168.0039 2012 9 7 "2012-9"
"116" 2012 "BE" 164 60.5444 -168.0077 2012 9 24 "2012-9"
"117" 2012 "BE" 165 60.487 -168.9802 2012 9 30 "2012-9"
"118" 2012 "BE" 166 60.5202 -167.0459 2012 9 1 "2012-9"
"119" 2012 "BE" 167 60.0038 -168.0242 2012 9 222 "2012-9"
